,id,rating,title_sin,artist,genre,music,song,writer,title_singlsh
10,10,820,මනලෝලී මනමාලියේ,"චන්ද්‍රලේඛ පෙරෙයිරා,රූකාන්ත ගුණතිලක",යුගල,රොහාන වීරසිංහ,"මනලෝලී මනමාලියේ  ඔය දෑසේ කැල්මන් හෙලා 
මාගෙ දෑතේ දැවටී ආවේ පවසන්නදෝ ආදරේ
කවදා හෝ සංසාරයේ එක් වීලා අතිනත් වෙලා
ආවා වගේ ඔබ මේ ආවේ පවසාලා ප්‍රේමාදරේ
  				
මුව මදහාසේ ඔබ මට පෑවේ
විහිදා පෙම් ආරාධනේ
ඉඟියෙන් වාගේ රහසින් කීවේ
සැනසීමයි මේ ජීවිතේ
ඔබ හිනැහේවී පුන්සඳ වාගේ 
පායාලා මාගේ ලොවේ
ඈයිදෝ නොහෑගේ ලෙන්ගතු වූයේ
ඔබ මා ලංවීලා මෙසේ
ලතැවුල් කීවේ සංසිදවූවේ
දෙනෙතේ දල්වාලා සෙනේ 
ඔබ සුව ගේනා සුවඳක් වාගේ
පාවේවී මාගේ ලොවේ
 			
 
",හේමසිරි හපිට,Manalolee Manamaliye
11,11,265,නැන්ද මාම දෙන්නා,රොහානා බැඩ්ගේ,ක්ලැසික්,රොහානා බැඩ්ගේ,"නැන්ද මාම දෙන්නා - නැන්ද මාම දෙන්නා
එක බහක් නොදී ළත වෙන්නා දෙන්න දෙපැත්තේ 
දවසින් දවස ගෙවෙන්නා 
කර කාර බැඳන් යන්න ඉඩක් නෑ දූගෙ කැමැත්තේ 
  				
කරට බඳින රන් මිණි මුතු මාලා 
කනට ඔබින රන් තෝඩු දමාලා 
අතට ගිගිරි රන් වළලු දමාලා 
ඇඟට ඔසරි සුදු සේල දමාලා 
ලස්සන සිහිනමැවෙන්නේ දවසින් දවස ගෙවෙන්නේ 
මැණිකේ කඳුළු සලන්නේ 
බොලේ ඉතින් මොකද කරන්නේ
බන්දා සිත දෙගුරුන් පද වන්දා 
අන්දා පට පිළි බරණ පළන්දා 
බන්දා තොරන් සැරසිලි මන නන්දා 
කැන්දන් යන්නේ කවද ද මන්දා
ලස්සන ……….
  
  				
  
 
 
",රොහාන බද්දගා,Nanda Mama Denna
12,12,969,නමෝ මරියනී,වල්පොල දිනය,දේවානුභාවයෙන්,අර්වින් ෆොස්නෙකා," 
නමෝ මරියනී නමෝ මරියනී
නමෝ මරියනී ප්‍රසාද පූර්ණවන්තිනී
දේව මාත්‍රයා අතීත සාන්තු වරමිනා...//
පිළිසිඳීය දෙව් බෙලෙන්
ශ්‍රී ඔබේ කුසේ...//
කීරිති පෑ ශ්‍රියා සාමදානයේ පියා...//‍
සාරසේ දිලී සිරින්
ශ්‍රී ඔබේ කුසේ...// 
 
 
",කිදාස් කුරුකුසූරිය,Namo Mariyani
13,13,782, නාඹර ගොයමට,ගුණදාස කපුගේ,පැරණි පොප්ස්,ෂෙල්ටන් ප්‍රේමරත්න,"නාඹර ගොයමට රහස් කියාලා 
ලා හිරු හිනැහේ…… කිරණ හලලා 
දෑසේ පෙම්බර රහස ලියාලා 
නාරිලතා මා……. අමතනවා  
මගෙ පියසටහන් හඳුනන ඔබෙ නෙත
හිමිදිරියේ දුටු සුභ දසුනයි 
කම්මල මැද වෙහෙසෙන විට ගතසිත 
ඔබගැන මතකය මද පවනයි
බලාපොරොත්තුව කිරිවැදිලා හෙට 
ගමේ කුඹුර මදහස පෙන්වයි 
මංගල සිරියෙන් කරල් කපන දා 
හිතාඉන්නෙ ඔබෙ අත ගන්නයි
",වීරසිංහ සී ඇඳුම,Nambara Goyamata
14,14,1739, ඔබ කවුද ප්‍රියේ,මිල්ටන් පෙරේරා,පැරණි පොප්ස්,නොදන්නා,"ඔබ කවුද ප්‍රියේ මන්ද මේසේ 
රන් රස සේ ඉන්නේ බැඳී
ඈත භවයේදී හුරු වු දෙයකි මේ සුදු  
හුරු වු දෙයකි මේ සුදු//
ඔබ මා වෙනුවෙන්මද  ලොව දිනුවේ 
මට මේ සෙනෙහස නෑ ඇය පිදුවේ//
මගෙ ගීත නිධානය ඔබම තමා
පෙරළා දෙනු මැන රෑ ගලනා මා
අද මෙන් හෙට ඔබ  ළඟ එකට ඉමී 
සැනසුම් සුව සහනය රැගෙන එමි//
ඔබ අමතන විට මා සිනාසෙමි 
ගෙමිදුල ළඟ වැටි වැටි සිඟා කමී
",නොදන්නා,Oba Kauda Priye
15,15,633, ඔබ කැමතිනම් මට කියන්න ,බිලී ප්‍රනාන්දු, , ,"ඔබ කැමතිනම් මට කියන්න 
මගෙ දුක ටිකක් හරි නිවෙන්න
ඔබ ඇයි ගියේ කියලා 
හදවත මගේ බිඳලා//
 
ඔබම තමයි පෙරදා මා වෙත ආවේ...
ඔබම තමයි ආදරේ ගැන මට කීවේ...
ඔබම තමයි මගෙ ජීවිතෙ එළිය කලේ...
ඔබම තමයි අද මගෙ ලොව අඳුරු කලේ.. 
    
 
ළඟ ඉන්නම් සැමදා ඔබමයි කීවේ...
පෙම් ගී වැල් ගොතලා ඔබමයි ගැයුවේ...
මගෙ තුරුලෙ උණුසුම ඔබමයි පැතුවේ...
අද යන්න ගියේ මට නොකියම ඇයි කෙල්ලේ
", ,Oba Kamathinam
16,16,1517, ඔබ හීනයක් වගේ ,දීපිකා ප්‍රියදර්ශිනි, , ,"ඔබ හීනයක් වගේ හාදු වැස්සක් අරන්
සිරියහන අද්දරට වී වැතිරෙන්නෙපා සයනේ
මම සස්වාමිකයි ස්වාමි...//
මල් මකරන්ද දෝතට අරන් නෙතේ කදුලැලි දරන්
මම මඟ බලා සිටියා...
නෙතු ඝණදුරට තරුවක් වෙලා ඔබ ‍එතැයි සිතා 
සිල් බිදලන්න නොහැකි නිසා මම මග බලා සිටියා
    
 
නේක දුක් හද රැදුනා  සඳ එළිය නිවුනා
අඳුර මැද තනිවී පහන් දොරකට සවන් දොර හැරුනා
තරු ඇසත් පිපුණා- සඳ ලබන්නී මා 
සරා සඳ ලඟ මා//
", ,Oba Heenayak Wage
17,17,1367,ඔබ ලබා ගන්න,චරිතය වෙනස් කිරීම,පැරණි පොප්ස්,නොදන්නා,"  
ඔබ ලබා ගන්න ඔබ හට ඇති ආදරේ හන්දා
දුකින් වේදනාවෙන් මා සිටියේ සෑමදා 
ඔබ නොදක ඉන්න බැරි උනේ මම ආදරේ හන්දා
මම ඔබ ලග ඉන්නෙමි සතුටින් පෙමින් සෑමදා
ආදරේ කරලා ඔබ හට ආදරේ පුදලා
වෙන අයෙකුගේ සුරත ගන්නේ කෙලෙසද සිතලා
ඔබ ගැන සිතලා නොහදන හැඩුම් හඬලා
දුරක් ගෙවා ආවෙමි මම ආදරේ හන්දා
මන් තරහ වෙලා මගේ මව් පියෝ තරහ වෙලා
ඒ අය අමතක කෙරුවේ ඔබ මතක් වෙලා
ඔබ ගැන සිතලා නොහඩන හැඩුම් හඬලා
මම දුරක් ගෙවා ආවෙමි මම ආදරේ හන්දා
                                         
  
 
",නොදන්නා,Oba Laba Ganna
18,18,2921, ඔබ හා මෙමා,ටී.එම්.ජයරත්න,"ක්ලැසික්,පැරණි පොප්ස්",එච්. ජයවර්ධන,"ඔබ හා මෙමා අතිනත් අරන්  
අපගේ ලොවේ තනිවු එදා 
ඔබ මා දෙපා දෑතින් බදා  
සිප ගත් එදා සිහිවෙනවා 
සිප ගත් එදා සිහිවෙනවා
භවයෙන් භවේ මෙලෙසින් බැඳී 
අප ආ ගමන් අමතක වුවත් 
ඔබගෙයි මගෙයි හද මන්දිරෙන් 
නැග ආ ස්වරේ - එක් වූ දිනේ සිහිවෙනවා 
එක් වූ දිනේ සිහිවෙනවා
ඔබ මා දෙනෙත් ම ඔබේ දෙනෙත් 
එක් වී වෙලි සෙනෙහස සෙවූ 
ඒ සොඳුරු දා සිහිවෙනවා 
ඒ සොඳුරු දා සිහිවෙනවා  
",විමලා ආර් පියරිස්,Oba Ha Mema
19,19,952,ඔබ ගාව මම ඉන්නෙමි,මිල්ටන් මල්ලවරාච්චි,නව පොප්,රූකාන්ත ගුණතිලක,"ඔබ ගාව මම ඉන්නෙමි - සුසුමන් වගේ යාවෙවී
තනියේ තුරුල් වී මුමුණා සුපෙම් ගී රෑ සීතලේ ළං වෙවී
තරුමල් කඩා දෙන්නෙමි //
මෙලෙසේ දිළෙන්නේ තරු සේ නිවෙන්නේ 
ඔබගේ සිනා දෑස නේදෝ
නොසැලී තියෙන්නේ සසැලී නොයන්නේ 
ඔබගේ මගේ ස්නේහෙ නේදෝ
සිත මාගෙ සනසන්නේ සරසන්නේ ඔබමයි ළඳේ
වෙන කවුරුවත් මාගේ තුරුළේ නිදන් නෑ ළඳේ
මතු ජීවිතේ දී මෙලොවින් තුරන් වී 
ගුවනේ පියාඹන්න වේවි
අභ්‍යාවකාශේ ග්‍රහලෝක ගානේ 
මිතුරන් සොයා යන්න වේවි
ඒ කාලෙදිත් මා පතන්නේ ඔයාවයි ළඳේ
දෙව් දූවරුන්ගෙන් අහන්නෙත් ඔයාවයි ළඳේ
",රූකාන්ත ගුණතිලක,Oba Gawa Mama
20,20,926, ඔබ ඉන්නවනම් ,අජිත් ගුවන්තොටුපල, , ," 
ඔබ ඉන්නවනම් ඉන්න මා ළඟ  
නෑ පලක් දුර හිඳිමෙන්
ඔබ ආදරේ නම් ඒනන් ළඟටම  
නෑ දුකක් ළඟ හිදිමෙන්
 
 
හිත තැවෙයි රෑ දවාලේ 
ඇයි මෙහෙම දේස වාසේ 
තුන් සිතට වේදනා දී 
ඔබ යාවි පාව පවී 
ආදරය නෙත් හැගිමෙන් 
දුක නිවෙයි ළඟ හිඳීමෙන්
ඔබ යාවි පාව පවී
 
ඔබ සොයා ආ සිත ඉගිල්ලී 
ඇස් දෙකම අන්ධ වුයේ 
නිම්නයේ නිල්ල සේදී 
ආදරය නැවි නැවි  
දුක නිවෙන පෙම් සිනවෙන් 
සිත නිවෙයි දුක නැසීමෙන්
ඔබ යාවි පාව පවී
", ,Oba Innawanam
21,21,801,ඔබ දැන් කීවත්,මිල්ටන් මල්ලවරාච්චි,පැරණි පොප්ස්,සරත් දසනායක,"                                          
 
ඔබ දැන් කීවත් කඳුළු සලා 
මට ආදරෙයි කියා 
හිත ගිය තැනකට තුරුළු වෙලා 
මැණිකේ නොවෙන් මුලා
 
ඉස්සර වාගේ අත්වැල් බැඳගෙන 
යන්නද කතා කලේ
දෙදෙනෙකු දෑතින් අල්ලා ගන්නට 
එකවර නොහැක ලොවේ
 
ලස්සන මල් පෙති දෑතක පොඩිවුන 
සුළඟේ විසිරෙනවා
මැණිකෙගෙ ආදර සුමිහිර ගිලිහුන 
මගෙ හද නෙරපනවා
             
 
  
",චිත්‍රානන්ද අබේසේකර,Oba Den Keewath
22,22,1356, ඔබ දේදුන්න,මර්වින් පෙරෙයිරා,පැරණි පොප්ස්,පුන්යසිරි මහව්,"ඔබ දේදුන්න ආකාසයේ
අන්දා තබා යන තෙක් විත් බලා
එය සේදෙන්න වැහි මේකුලේ
සැංගී හඹා එමි කඳුලැල් සලා
ඔබ දේදුන්න ආකාසයේ
	
 
සුළ‍ඟේ නළවා පෙර සේ එනවා
ඔබ මා.. කළඹා
කිමදෝ යන්නෙ නොරැඳී ගලා//
 
ගගනේ පියඹා කැදලි නොඅඹා
ඔබ ආ.. ගිය දා
සිට මා ඉන්නේ උමතු වෙලා//
 
ඔබ මල් විලකි මා එහි මලකි
සුවඳින්.. කැලතී
යමු පීනන්න දියවැල් සලා//
",සුනිල් පිබිදීම,Oba Dedunna
23,23,658, පාසල් බිමේ ,අජිත් මුතුකුමාරණ, , ," 
පාසල් බිමේ හමු වූ සුර කුමරියේ 
සිප් සතර සේ ඉඩ දෙන් මට ඔබෙ ළයේ 
සරසවි බිමේ මතුදා හමුවන දිනේ 
නෙත් ඔය ලෙසේ නා රින් මට මග ප්‍රියේ
 
සටහන් පොතක් තුළ සැඟ වී හොරෙන් 
මට ඉන්න ආසයි ඔබෙ ළය ලගින්
සුදු මුද ගවුමේ ඉඟ වට රැලි සේ 
දැවටෙන්න ආසයි ඔය බද වටින්
 
පැනයන් රැසක් ලඟ පිළිතුරැ ලෙසින් 
පිටවෙන්න ආසයි ඔබෙ මුව තුළින්
රතැගිළි අතරේ තෙලි තුඩ වි‍ලසේ 
සිප ගන්න ආසයි ඔය මුදු ළවන්
", ,Pasal Bime
24,24,1050,ඔබ දකින දකින,එම්.එස්. ප්‍රනාන්දු,ගෝල්ඩන් පොප්,එම්.එස්. ප්‍රනාන්දු," 
ඔබ දකින දකින දිනක මහද පොකුණු තලාවේ
කිරි පැහැති සුසුදු සුමුදු සිනිදු කුමුදු හිනාවේ //
කුමුදු හිනාවේ මේ පොකුණු තලාවේ
පොකුණු තලාවේ කුමුදු හිනාවේ
මල් දහසක සුවඳින් සුවඳ වෙලා
කුංකුම පිණි දිය ගා නළලෙ උලා
රන්වන් කැළුම් නංවලා 
මල් දහසක සුවඳින් සුවඳ වෙලා
කුංකුම පිණි දිය ගා නළලෙ උලා
බඳ වටලා සළු පටලා සළු පටලා බඳ වටලා
පෙති ගෝමර ඉසිලා ළය තුරුලේ
සඳ බැබලේ රැඳිලා වත මඩලේ
නිල් තරු දෑසෙ හැංගිලා
පෙති ගෝමර ඉසිලා ළය තුරුලේ
සඳ බැබලේ රැඳිලා වත මඩලේ
ඔබ නැති දා ලොව නැත මා//
 
 
",එම්.එස්. ප්‍රනාන්දු,Oba Dakina Dakina
25,25,459,පෙම් සිලිලාරේ,නීලා වික්‍රමසිංහ,පැරණි පොප්ස්,සරත් දසනායක,"පෙම් සිලිලාරේ තුන් සිත ඉතිරී 
විහිදී විසිරෙන්නා
වසන්ත ගීතේ පවනේ පාවේ
විල්තෙර නිල්ලේ හද සන්සුන් කළ
ගී හඬ යළි ඇසුණා
කවුදෝ ආවේ කවුදෝ ආවේ
 				
පෙර දිනේ සොඳුරු රුව ඔබේ
නෙතු කොනේ ඇඳි පැයේ
ආදරේ මංපෙතේ ආවෙ දෑත ගෙන දෙන්නා
හසරැලී තොලග නැඟි නැඟී 
හද නිවී සිහිල දේ
ආදරේ මංපෙතේ ආවෙ දෑත ගෙන දෙන්නා
 			
 
",කරුණාරත්න අබේසේකර,Pem Sililare
26,26,107,පූජනීය වූ,"කීර්ති පැස්කුවෙල්,නන්ද මලනි",යුගල,සරත් දසනායක,"පූජනීය වූ ප්‍රේම ප්‍රාසාදේ
චන්ද්‍රයා සේ කාන්ති දී පායලා එන්නම්//
සඳලුතලා යහනේ ශාන්ත හැඟුම් අතරේ 
ප්‍රේමිය චන්ද්‍රාවෝ අද ඔබ ළඟ මිහිරේ
සුදට සුදේ ගලනා ඔබේ කැළුම් දහරේ 
රෑ පෙම් කෝකිලයෝ දොඩමළු වෙති රහසේ 
 
",සුනිල් පිබිදීම,Poojaneeya Wu
27,27,1106,රස ආහර කවලා,එම්.එස්. ප්‍රනාන්දු,"ගෝල්ඩන් පොප්,කැලිප්සෝ",පී.එල්.ඒ.," 
රස ආහර කවලා රන් කූඩුවෙ තබලා 
ඇති කරන්න ගත්න මාල ගිරවී
අත හරින්න කියලා ඇයි කියන්නෙ ඔහෙලා 
සිතුවද ඇ දාල යයි කියාලා
      
මම බත් කැවද ගිරවි කියල ඇහුවම 
ඔව් මම බත් කෑව කියනවා     
මම ගිරවි ගිහින් කැලේ අත අරින්නද
අනේ අනේ එපා කියනවා     
අපි ඇති කෙරුවත් රං කූඩුවෙ දමලා
කුස පිරෙන්න රජ ආහර කවලා
ගිරවුන් යනවලු ලැබුනොත් පැනලා
ඔබ යනවලු මටත් එහෙම කරලා 
වත්තෙ මල් පිපෙන්නෙ නෑ ගෙදර සිරියාවක් නෑ
ඔබ නැති නම් මේ දේවල් නෑ
ගිරවුන් හොඳ නෑ මේ ගිරවි එහෙම නෑ 
අත හැරියත් දාල යන්නෙ නෑ
ඔබේ රෑන සමග පියඹාගෙන යන්න
කුඹුරට ගොස් අහුලාගෙන කන්න  
කැලේ ගහක රෑ කාලෙ ගෙවන්න
ඔබට ආස නැද්ද ඒ විදිහට ඉන්න
ලස්සන මල් වතුවල ගැවසෙන්න
වලාකුළු ඉරාගෙන ඉගිලෙන්න
නෙලා ගෙන ඇවිත් පළතුරු කන්න
ඔබට ආස නැද්ද ඒ විදිහට ඉන්න 
ඒ විදිහට ඉන්න ආසදැයි බලන්න
මේ කූඩුවෙ දොර ඇරල තියන්න
මාව දාලා යන්න බැහැ නේද කියන්න 
මට ආසයි එය දැන ගන්න
 
      
 
",කරුණාරත්න අබේසේකර,Rasa Ahara Kawala
28,28,1440,රන්වන් දුල් කරලින්,වල්පොල දිනය,"දේවානුභාවයෙන්,චිත්‍රපට ගීත",රමුතුකාමි,"දිනිඳා උදය ගිරි මුදුනෙන් නැඟ එනවා
සුරිඳා පිහිට යැද ගොවි කුඹුරට යනවා
රන්වන් දුල් කරලින් පැසිලා නැමිලා බරවීලා
තල වැවිලා රමණී සෝබා කෙත් වතු පිරිලා සාරා
ඕ කෙත් වතු පිරිලා සාරා//
  
ඉඟ නළවා කපමූ නෙළමූ හෝ හෝයියා //
මිටි බැඳලා හිස මත ගනිමූ යාමූ පෙළ සෑදිලා
යාමූ පෙළ සෑදිලා //
මිටි බැඳලා හිස මත ගනිමූ යාමූ පෙළ සෑදිලා
බට ලී සංගීතේ මත්වූ ගවයෝ රැළේ යා
ගොපලුන් හා මිහිරේ වෙළිලා යාවී රංචූ හෝයියා
හෝ.. යාවී රංචූ හෝයියා //
මඳ සුළඟේ කුල්ලෙන් පොළලා හෝ හෝයියා //
තල වේලා බොල් පොතු හැරලා කමතේ පිරි ධාන්‍යා
කමතේ පිරි ධාන්‍යා//
තල වේලා බොල් පොතු හැරලා කමතේ පිරි ධාන්‍යා
සැම දෙවියෝ පිහිටාධාරේ කරුණා ලැබීලා
ගම සාරයි හාමත දුරුවෙයි ගොවිසිත ප්‍රීතියි හෝයියා
හෝ..ගොවි සිත ප්‍රීතියි හෝයියා // 
  
  
 
",බෙනඩික්ට් ප්‍රනාන්දු,Ranwan Dul Karalin
